year,country,life expec,gdp cap,code,Total as percGDP,govperc total exp,privat perc of total
2000,Angola,46.621,606.2722922,AGO,2.79,60.17,39.83
2001,Angola,47.374,574.1941611,AGO,5.38,52.23,47.77
2002,Angola,48.109,775.7655185,AGO,3.63,46.37,53.63
2003,Angola,48.793,850.0756941,AGO,4.41,46.41,53.59
2004,Angola,49.41,1135.604564,AGO,4.71,51.15,48.85
2005,Angola,49.954,1576.162801,AGO,4.1,49.33,50.67
2006,Angola,50.433,2253.83885,AGO,4.54,66.54,33.46
2007,Angola,50.875,3151.022431,AGO,3.38,65.44,34.56
2008,Angola,51.301,4242.363062,AGO,3.84,70.65,29.35
2009,Angola,51.72,3678.947654,AGO,4.37,60.93,39.07
2010,Angola,52.138,3886.479354,AGO,3.39,60.78,39.22
2011,Angola,52.558,4744.987629,AGO,3.38,63.77,36.23
2012,Angola,52.976,5086.848426,AGO,3.3,64.67,35.33
2013,Angola,53.392,5327.148892,AGO,4.26,72.26,27.74
2014,Angola,53.805,5232.690501,AGO,3.31,64.26,35.74
2000,Botswana,49.612,3333.17955,BWA,4.64,62.45,37.55
2001,Botswana,49.521,3114.616594,BWA,5.73,72.37,27.63
2002,Botswana,50.213,3044.127353,BWA,6.47,75.61,24.39
2003,Botswana,51.616,4149.041377,BWA,4.65,63.9,36.1
2004,Botswana,53.624,4879.459462,BWA,5.56,69.95,30.05
2005,Botswana,56.034,5327.853518,BWA,5.62,72.74,27.26
2006,Botswana,58.584,5342.140336,BWA,4.93,70.58,29.42
2007,Botswana,61.004,5666.637847,BWA,4.71,70.35,29.65
2008,Botswana,63.076,5561.89824,BWA,5.55,70.78,29.22
2009,Botswana,64.681,5115.119247,BWA,6.39,70.36,29.64
2010,Botswana,65.763,6244.002574,BWA,5.64,62.82,37.18
2011,Botswana,66.362,7504.850907,BWA,5.25,61.65,38.35
2012,Botswana,66.649,6885.829681,BWA,6.27,63.06,36.94
2013,Botswana,66.784,6806.677467,BWA,5.84,60.07,39.93
